Power (mW)	Time (sek)
1.178589	0.1076
1.178615	0.1353
1.178648	0.1681
1.178490	0.2105
1.178487	0.2582
1.178442	0.2912
1.178600	0.3396
1.178561	0.3916
1.178587	0.4439
1.178532	0.4919
1.178545	0.5422
1.178526	0.5714
1.178574	0.6039
1.178603	0.6430
1.178673	0.6927
1.178635	0.7397
1.178523	0.7927
1.178606	0.8384
1.178612	0.8695
1.178538	0.9042
1.178403	0.9394
1.178403	0.9908
1.178420	1.0424
1.178478	1.0913
1.178423	1.1343
1.178513	1.1732
1.178519	1.1997
1.178455	1.2419
1.178506	1.2925
1.178567	1.3430
1.178603	1.3921
1.178583	1.4447
1.178638	1.4710
1.178497	1.5023
1.178596	1.5429
1.178590	1.5922
1.178410	1.6447
1.178378	1.6845
1.178545	1.7346
1.178455	1.7734
1.178561	1.8034
1.178529	1.8356
1.178632	1.8920
1.178612	1.9407
1.178657	1.9894
1.178699	2.0420
1.178609	2.0663
1.178625	2.1042
1.178654	2.1407
1.178542	2.1870
1.178542	2.2352
1.178571	2.2872
1.178625	2.3414
1.178615	2.3706
1.178461	2.4038
1.178529	2.4450
1.178696	2.4931
1.178651	2.5432
1.178545	2.5922
1.178667	2.6437
1.178551	2.6739
1.178644	2.7031
1.178702	2.7429
1.178577	2.7843
1.178641	2.8424
1.178683	2.8921
1.178567	2.9424
1.178651	2.9722
1.178683	3.0035
1.178686	3.0444
1.178725	3.0918
1.178644	3.1420
1.178471	3.1896
1.178442	3.2425
1.178060	3.2746
1.177906	3.3011
1.177729	3.3438
1.177845	3.3916
1.177671	3.4437
1.177742	3.4928
1.177899	3.5427
1.177880	3.5708
1.177819	3.6041
1.177816	3.6407
1.178108	3.6933
1.178320	3.7415
1.178375	3.7899
1.178464	3.8448
1.178487	3.8761
1.178493	3.9054
1.178493	3.9365
1.178484	3.9871
1.178606	4.0451
1.178535	4.0933
1.178557	4.1378
1.178342	4.1716
1.178471	4.2038
1.178368	4.2461
1.178265	4.2926
1.178291	4.3428
1.178278	4.3877
1.178214	4.4458
1.178220	4.4721
1.178468	4.5074
1.178480	4.5571
1.178265	4.6044
1.178188	4.6609
1.178259	4.7048
1.178237	4.7610
1.178252	4.7885
1.178224	4.8424
1.178214	4.8931
1.178143	4.9373
1.178063	4.9918
1.178198	5.0424
1.178195	5.0701
1.178127	5.1069
1.178236	5.1606
1.178182	5.2111
1.178246	5.2633
1.178195	5.3077
1.178163	5.3593
1.178150	5.3920
1.178108	5.4449
1.178192	5.4911
1.178249	5.5416
1.178349	5.5914
1.178211	5.6447
1.178095	5.6755
1.178108	5.7210
1.178127	5.7557
1.178163	5.8100
1.178217	5.8624
