Power (mW)	Time (sek)
1.164218	0.1085
1.164215	0.1361
1.164270	0.1702
1.164253	0.1993
1.164186	0.2420
1.164170	0.2913
1.164135	0.3442
1.164253	0.3949
1.164141	0.4415
1.164192	0.4723
1.164170	0.5193
1.164096	0.5736
1.164016	0.6215
1.164160	0.6780
1.164170	0.7246
1.164176	0.7566
1.164134	0.7858
1.164112	0.8264
1.164013	0.8790
1.164090	0.9240
1.164003	0.9738
1.164096	1.0233
1.164045	1.0568
1.164032	1.0853
1.163939	1.1249
1.164125	1.1743
1.164186	1.2249
1.164070	1.2723
1.164067	1.3267
1.164035	1.3560
1.164102	1.3842
1.164119	1.4257
1.164093	1.4794
1.164048	1.5211
1.163958	1.5763
1.164086	1.6248
1.164083	1.6572
1.164134	1.6851
1.164128	1.7236
1.164093	1.7756
1.164045	1.8224
1.164006	1.8780
1.164147	1.9253
1.164086	1.9500
1.164016	1.9875
1.164128	2.0198
1.164006	2.0800
1.164070	2.1205
1.164012	2.1687
1.164054	2.2265
1.164019	2.2575
1.164035	2.2865
1.163926	2.3264
1.163935	2.3751
1.164006	2.4228
1.163974	2.4720
1.164138	2.5213
1.164048	2.5558
1.164016	2.5888
1.164154	2.6266
1.164132	2.6776
1.163740	2.7254
1.163971	2.7681
1.163913	2.8257
1.163919	2.8568
1.163300	2.8879
1.163705	2.9257
1.164051	2.9768
1.163765	3.0261
1.163897	3.0760
1.163999	3.1255
1.164061	3.1574
1.164131	3.1872
1.164032	3.2260
1.164141	3.2787
1.164058	3.3257
1.164086	3.3763
1.164109	3.4247
1.164134	3.4543
1.164119	3.4868
1.164083	3.5258
1.164102	3.5766
1.164003	3.6195
1.164042	3.6785
1.164061	3.7231
1.164073	3.7575
1.164022	3.7825
1.164032	3.8218
1.163997	3.8781
1.163964	3.9171
1.163983	3.9729
1.164070	4.0265
1.164061	4.0568
1.164112	4.0883
1.164077	4.1273
1.164119	4.1772
1.164038	4.2266
1.164118	4.2783
1.164151	4.3224
1.164106	4.3580
1.164131	4.3862
1.164076	4.4253
1.164173	4.4789
1.164131	4.5267
1.164147	4.5701
1.164176	4.6264
1.164083	4.6574
1.164054	4.6883
1.164112	4.7431
1.164128	4.7946
